SYMBOL,TICKER,COMPANY NAME,CURRENT PRICE,OPEN,HIGH,LOW,CLOSE PRICE,CHANGE,CHANGE %,VOLUME AVG,52WHIGH,52W-LOW,MARKET CAP(CR),3D CHART
AURUM,NSE:AURUM,Aurum PropTech Limited,169.5,162.1,172,157.6,161.99,7.51,4.64,80987,264.8,144.4,1887.7215,
AUSOMENT,NSE:AUSOMENT,Ausom Enterprise Limited,108.5,107.5,112.71,106.04,109.13,-0.63,-0.58,10814,127.34,72.8,144.4808942,
AUTOAXLES,NSE:AUTOAXLES,Automotive Axles Limited,1641,1609,1692.6,1606.3,1609.4,31.6,1.96,3991,1982.2,1520,2481.946907,
AUTOIND,NSE:AUTOIND,Autoline Industries Limited,68,66.88,68.3,66.25,66.65,1.35,2.03,66567,125.25,62.81,298.0049468,
AVADHSUGAR,NSE:AVADHSUGAR,Avadh Sugar & Energy Limited,384.95,384,391.05,378.4,384,0.95,0.25,25888,627,354.4,756.5095382,
AVALON,NSE:AVALON,Avalon Technologies Limited,984,994.7,1000.8,983.5,991.8,-7.8,-0.79,181967,1318,598,6359.639353,
AVANTEL,NSE:AVANTEL,Avantel Limited,154.47,154.8,158.39,154,153.7,0.77,0.5,2384477,215,95.12,3961.705414,
AVANTIFEED,NSE:AVANTIFEED,Avanti Feeds Limited,806.7,838.85,842.35,792,836.25,-29.55,-3.53,1039511,964.2,572,11076.64459,
AVG,NSE:AVG,AVG Logistics Limited,199,196.57,200,196.57,196.56,2.44,1.24,15662,461.95,190.37,295.6837876,
AVL,NSE:AVL,Aditya Vision Limited,536.1,535.5,542.5,531,539.45,-3.35,-0.62,230195,598.7,327.6,6957.564454,
AVONMORE,NSE:AVONMORE,Avonmore Capital & Management Services Limited,18.15,18.25,18.58,17.98,18.19,-0.04,-0.22,228088,29.95,14.18,501.8660024,
AVROIND,NSE:AVROIND,AVRO INDIA LIMITED,142,138.12,145,131.73,140.41,1.59,1.13,29022,230.52,101.35,164.4724473,
AVTNPL,NSE:AVTNPL,AVT Natural Products Limited,68.66,68.9,69.54,68.5,68.82,-0.16,-0.23,555985,83.8,51.41,1046.641424,
AWFIS,NSE:AWFIS,Awfis Space Solutions Limited,546,549,553,541.45,546.15,-0.15,-0.03,226169,807.8,531.1,3816.68196,
AWHCL,NSE:AWHCL,Antony Waste Handling Cell Limited,458,466,467.4,454.4,463.4,-5.4,-1.17,66825,699.85,452.2,1268.829918,
AWL,NSE:AWL,AWL Agri Business Limited,261.7,264.4,266.7,261,264.25,-2.55,-0.96,4662478,337.05,231.55,33845.53144,
AXISBANK,NSE:AXISBANK,Axis Bank Limited,1286.1,1297,1304,1281,1290.2,-4.1,-0.32,5723469,1304,933.5,390506.7666,
AXISCADES,NSE:AXISCADES,AXISCADES Technologies Limited,1420,1439.9,1464,1408,1428.6,-8.6,-0.6,56892,1779.2,431.1,5922.3869,
AXITA,NSE:AXITA,Axita Cotton Limited,9.57,9.37,10.18,9.37,9.28,0.29,3.12,1465745,12.89,7.99,285.3415513,
AYMSYNTEX,NSE:AYMSYNTEX,AYM Syntex Limited,165.2,167.32,172.55,165,166.66,-1.46,-0.88,19171,326.11,153,952.8255091,
AZAD,NSE:AZAD,Azad Engineering Limited,1694,1640,1718,1639.8,1633.3,60.7,3.72,172483,1929.8,1159.45,10020.71697,
BAFNAPH,NSE:BAFNAPH,Bafna Pharmaceuticals Limited,154.35,154.35,154.35,154.35,157.5,-3.15,-2,4344,202.06,69,378.1990231,
BAGFILMS,NSE:BAGFILMS,B.A.G Films and Media Limited,6.5,6.09,6.7,6.09,6.15,0.35,5.69,144668,12.2,5.31,129.4082583,
BAIDFIN,NSE:BAIDFIN,Baid Finserv Limited,10.2,10.17,10.21,10.05,10.13,0.07,0.69,95360,17.65,8.97,121.4511225,
BAJAJ-AUTO,NSE:BAJAJ-AUTO,Bajaj Auto Limited,9040.5,9194,9254.5,8996,9164,-123.5,-1.35,335869,9490,7089.35,246793.6261,
BAJAJCON,NSE:BAJAJCON,Bajaj Consumer Care Limited,265.5,267.9,268.8,263,266.8,-1.3,-0.49,920405,310,151,3413.17773,
BAJAJELEC,NSE:BAJAJELEC,Bajaj Electricals Limited,485.2,488.9,491.3,483.4,488.3,-3.1,-0.63,189320,866.5,480.75,5565.554668,
BAJAJFINSV,NSE:BAJAJFINSV,Bajaj Finserv Limited,2105,2085.1,2118,2075.6,2085.1,19.9,0.95,1059023,2195,1551.65,325595.7165,
BAJAJHCARE,NSE:BAJAJHCARE,Bajaj Healthcare Limited,426.5,431.6,433.45,425.3,426.85,-0.35,-0.08,104158,745,372.35,1340.295869,
BAJAJHFL,NSE:BAJAJHFL,Bajaj Housing Finance Limited,105.23,105.05,107.15,105.05,105,0.23,0.22,3219334,147.7,103.1,87795.40181,
BAJAJHIND,NSE:BAJAJHIND,Bajaj Hindusthan Sugar Limited,20.97,21.08,21.25,20.9,20.97,0,0,4349092,35.38,16.5,2595.828637,
BAJAJHLDNG,NSE:BAJAJHLDNG,Bajaj Holdings & Investment Limited,11258,11740,11773,11221,11734,-476,-4.06,81597,14763,10120.05,125115.0771,
